iter	Logloss
0	0.6356830723
1	0.5902905656
2	0.5548474976
3	0.5208516591
4	0.4883705268
5	0.4575489993
6	0.4256197978
7	0.3988608398
8	0.380909177
9	0.3596671389
10	0.3458674469
11	0.3291584371
12	0.313572445
13	0.3004571537
14	0.2912412292
15	0.280477923
16	0.2726571208
17	0.263407588
18	0.2550149121
19	0.2470082871
20	0.2398045791
21	0.2332907087
22	0.2281409713
23	0.2234463684
24	0.2187675413
25	0.2132562848
26	0.2091460608
27	0.2046590016
28	0.1999559785
29	0.1964094874
30	0.1926795298
31	0.1892950284
32	0.1851333595
33	0.182402462
34	0.1794107814
35	0.1768523306
36	0.1747327544
37	0.1727821766
38	0.1702136354
39	0.1677106206
40	0.1655749122
41	0.1633461329
42	0.1617319838
43	0.1596783586
44	0.1573938718
45	0.1552052641
46	0.1540908982
47	0.1523100274
48	0.1499704621
49	0.1482155362
50	0.1466338159
51	0.1457158472
52	0.1444399325
53	0.1437497957
54	0.1426567626
55	0.1415356496
56	0.1398367228
57	0.1387412303
58	0.1371492101
59	0.1357022476
60	0.1352326869
61	0.1336567555
62	0.1318147278
63	0.1311348133
64	0.1299879415
65	0.1290557054
66	0.1280491939
67	0.1271186346
68	0.1264996489
69	0.126144818
70	0.1250683776
71	0.124213955
72	0.1237885215
73	0.1229498016
74	0.1220232051
75	0.1216708133
76	0.1207264955
77	0.1196682317
78	0.1191879433
79	0.1181467297
80	0.1172203737
81	0.1166287274
82	0.1155793613
83	0.1147056884
84	0.1138199573
85	0.1134809293
86	0.1123665373
87	0.1117400373
88	0.1113938268
89	0.1105665493
90	0.1097464243
91	0.1091981408
92	0.1083316246
93	0.1074219895
94	0.1069647141
95	0.1063522948
96	0.1060154206
97	0.1054644815
98	0.1049628427
99	0.1041867928
100	0.1034994427
101	0.1031253027
102	0.1025724171
103	0.1017635311
104	0.1009971299
105	0.09991064282
106	0.09941448808
107	0.09868717031
108	0.09785567905
109	0.09746359618
110	0.09669371715
111	0.09652142633
112	0.0958346674
113	0.09512150213
114	0.09481387678
115	0.09425805784
116	0.09374008453
117	0.09340079521
118	0.09290971419
119	0.09237346764
120	0.09211674631
121	0.09171215443
122	0.09112264893
123	0.09070749596
124	0.09034260551
125	0.08983319749
126	0.08931548462
127	0.0889814961
128	0.08845581052
129	0.08786285559
130	0.08757308715
131	0.08720187245
132	0.08667736923
133	0.08630400696
134	0.08564792383
135	0.08496954401
136	0.08446647194
137	0.08417547671
138	0.08338541612
139	0.08268422355
140	0.08216405978
141	0.08185183316
142	0.08121965711
143	0.08092321981
144	0.08040811891
145	0.07980912031
146	0.07941242472
147	0.07909537486
148	0.07869678199
149	0.07846203446
150	0.0782433248
151	0.07774297461
152	0.07743729179
153	0.07670778418
154	0.07632791857
155	0.07608796099
156	0.07583716318
157	0.07551967565
158	0.07521507856
159	0.07497999832
160	0.07482906822
161	0.07450057763
162	0.07438286715
163	0.07382400764
164	0.07347884387
165	0.07334064001
166	0.0728740652
167	0.0725092749
168	0.07218339666
169	0.07193831164
170	0.07164276275
171	0.0714266821
172	0.07117558039
173	0.07088299928
174	0.07023241508
175	0.0699686309
176	0.06985963949
177	0.06974894085
178	0.06966308906
179	0.06945677152
180	0.06935757502
181	0.06905462094
182	0.06867043785
183	0.06827576716
184	0.06803488774
185	0.06788568793
186	0.06746140485
187	0.06736141867
188	0.06699739858
189	0.06684043753
190	0.06667753904
191	0.06621050336
192	0.06594247098
193	0.06558297624
194	0.06482408027
195	0.06474285988
196	0.06465984434
197	0.06439642234
198	0.06431493322
199	0.06408180481
200	0.06378716799
201	0.06371549541
202	0.06328729436
203	0.06305378992
204	0.06291691745
205	0.06253141946
206	0.06237434783
207	0.06218502474
208	0.06212312966
209	0.06157926418
210	0.06138762721
211	0.06111129692
212	0.06091727114
213	0.06081354525
214	0.06069002061
215	0.06025860669
216	0.05992784919
217	0.05986386216
218	0.05980617662
219	0.05926215729
220	0.05893985585
221	0.05874274166
222	0.05839498666
223	0.05807650155
224	0.05802554169
225	0.05789957911
226	0.05756695852
227	0.05734976847
228	0.05709381408
229	0.05701897017
230	0.05672557932
231	0.05666099435
232	0.05655612708
233	0.05633456151
234	0.0561055405
235	0.05573522728
236	0.05555644807
237	0.0554894446
238	0.05540999063
239	0.05517559157
240	0.05501427803
241	0.05491948827
242	0.05441728102
243	0.05414224256
244	0.05398646406
245	0.05363839705
246	0.05340576592
247	0.05326909026
248	0.05273780012
249	0.05253820751
250	0.05224016497
251	0.05210323796
252	0.05178020602
253	0.05152760974
254	0.0512777336
255	0.05113737519
256	0.05101050129
257	0.05092785772
258	0.050600772
259	0.05039509974
260	0.0502055289
261	0.0501498076
262	0.04990250194
263	0.04971514051
264	0.04953104654
265	0.04908875088
266	0.04871129331
267	0.04845842745
268	0.04839612357
269	0.0482927598
270	0.04823006801
271	0.04787053676
272	0.04764620802
273	0.04755948692
274	0.04734902739
275	0.04699907021
276	0.04684632406
277	0.04678542217
278	0.04654658064
279	0.04636914172
280	0.04621749796
281	0.04614579936
282	0.0459402621
283	0.0457998146
284	0.04564759288
285	0.04560770778
286	0.04539285996
287	0.04515443758
288	0.04488310498
289	0.04463899889
290	0.04440563821
291	0.04424385443
292	0.04413681985
293	0.04403028666
294	0.04377712805
295	0.04364718263
296	0.04358451245
297	0.04352144944
298	0.04337175512
299	0.0430484665
